Date,Average Difficulty,Active Addresses Count,Average Transaction Fees,Transactions Count,Block Count,Block Size (bytes)
3/28/2018,3.2583E+15,272121,0.282300107,579858,5949,102817552
3/29/2018,3.18349E+15,293419,0.256444314,583673,5867,102719610
3/30/2018,3.21195E+15,316912,0.218832661,633616,5938,109596932
3/31/2018,3.18908E+15,273912,0.189806929,584396,6050,102998360
4/1/2018,3.23962E+15,273312,0.174064128,545141,6016,95615196
4/2/2018,3.19788E+15,306197,0.197646129,598505,6094,102811134
4/3/2018,3.13033E+15,327729,0.21350799,645977,5999,114437496
4/4/2018,3.17698E+15,330922,0.170611159,628441,6001,112072095
4/5/2018,3.15123E+15,372734,0.268577674,695871,6056,118066688
4/6/2018,3.2562E+15,350661,0.201161877,647981,6051,107519299
4/7/2018,3.23589E+15,293326,0.174151776,535865,6049,95762080
4/8/2018,3.19137E+15,309376,0.189360559,595733,6058,104396062
4/9/2018,3.08896E+15,319374,0.199732128,609799,5995,111688105
4/10/2018,3.13586E+15,339055,0.211882829,571388,6073,106774273
4/11/2018,3.14661E+15,371762,0.230049173,609102,5962,110272728
4/12/2018,3.13151E+15,353014,0.26999521,692606,5898,125300030
4/13/2018,3.08599E+15,374208,0.300553848,730344,5923,125187793
4/14/2018,3.13231E+15,301862,0.261020161,611188,5917,107381896
4/15/2018,3.13747E+15,302284,0.25132823,619985,5939,110894790
4/16/2018,3.11371E+15,334786,0.256852992,664402,5932,123193608
4/17/2018,3.1328E+15,339274,0.243240761,742823,5835,130120574
4/18/2018,3.07816E+15,339669,0.314702398,703293,5795,130238732
4/19/2018,3.09836E+15,360686,0.309670878,814318,5810,146447319
4/20/2018,3.07011E+15,369410,0.329563041,832220,5715,150796219
4/21/2018,3.16825E+15,411088,0.282216805,746104,5883,127495796
4/22/2018,3.14674E+15,414637,0.296658019,748858,5902,136180859
4/23/2018,3.18124E+15,428031,0.312669846,802870,5776,140015382
4/24/2018,3.13208E+15,417221,0.413241576,816357,5720,146428617
4/25/2018,3.12931E+15,365985,0.350169863,799014,5818,146294657
4/26/2018,3.21318E+15,358539,0.386356876,793873,5867,144945254
4/27/2018,3.15229E+15,346176,0.41319198,764479,5714,137822618
4/28/2018,3.12886E+15,341856,0.456871237,775321,5713,140281616
4/29/2018,3.19083E+15,318879,0.497318558,756651,5833,143806146
4/30/2018,3.19632E+15,361168,0.485698892,778133,5724,148201676
5/1/2018,3.11397E+15,328660,0.418455863,713839,5622,138403564
5/2/2018,3.11133E+15,363346,0.415207993,787722,5712,146376738
5/3/2018,3.16459E+15,394992,0.528213073,839586,5681,149623503
5/4/2018,3.20279E+15,644295,0.427281516,1000526,5632,156377573
5/5/2018,3.2422E+15,396427,0.440660615,789261,5741,138377788
5/6/2018,3.27198E+15,389642,0.435285443,691273,5763,129020462
5/7/2018,3.32778E+15,419460,0.420117973,789863,5835,134721240
5/8/2018,3.34357E+15,410500,0.454899485,820098,5734,136808576
5/9/2018,3.26843E+15,390605,0.470434797,831127,5730,140440996
5/10/2018,3.27976E+15,390235,0.626175526,854827,5683,152021290
5/11/2018,3.28521E+15,392464,0.593698045,826099,5751,144454990
5/12/2018,3.36708E+15,383918,0.433546864,788487,5754,136668318
5/13/2018,3.39701E+15,359287,0.500828882,762439,5760,135474754
5/14/2018,3.32217E+15,398274,0.604750697,801788,5638,146202108
5/15/2018,3.26263E+15,400914,0.610627661,779210,5732,142106913
5/16/2018,3.28635E+15,414046,0.62750694,807257,5645,139676937
5/17/2018,3.28093E+15,412529,0.631635129,835761,5704,140366383
5/18/2018,3.23663E+15,419826,0.623463056,831831,5636,138888487
5/19/2018,3.25021E+15,424160,0.543794343,846288,5603,137044728
5/20/2018,3.30796E+15,389190,0.555073012,777283,5642,134050623
5/21/2018,3.34172E+15,397743,0.594307813,802211,5687,145475141
5/22/2018,3.32328E+15,422824,0.602647891,822409,5601,141851150
5/23/2018,3.25217E+15,410012,0.541798778,833377,5655,146831736
5/24/2018,3.22361E+15,418876,0.532235325,811167,5563,141675376
5/25/2018,3.20299E+15,394287,0.497271413,800838,5635,140479317
5/26/2018,3.25313E+15,375954,0.457337576,761932,5719,131838044
5/27/2018,3.21511E+15,403522,0.401846141,776024,5634,132382504
5/28/2018,3.23239E+15,445032,0.514585737,861002,5704,144962259
5/29/2018,3.21895E+15,409323,0.573274488,812183,5649,143102184
5/30/2018,3.17726E+15,413796,0.590908961,817167,5609,143075140
5/31/2018,3.2493E+15,416236,0.742055677,832842,5647,154932441
6/1/2018,3.15168E+15,371923,0.668541219,758242,5624,141328739
6/2/2018,3.19413E+15,404528,0.464617123,768017,5632,138640228
6/3/2018,3.20259E+15,415409,0.451002225,809997,5619,140906916
6/4/2018,3.15915E+15,397194,0.539790146,807165,5672,149892618
6/5/2018,3.23284E+15,380350,0.49363884,780654,5591,144514502
6/6/2018,3.16339E+15,374278,0.64962692,754070,5633,137310031
6/7/2018,3.16172E+15,403581,0.490239625,775828,5639,137499719
6/8/2018,3.19686E+15,364344,0.456662449,720017,5679,139209862
6/9/2018,3.3035E+15,388714,0.340147967,769427,5610,135556734
6/10/2018,3.25214E+15,406267,0.296786651,771280,5641,138541069
6/11/2018,3.23594E+15,403546,0.325860786,768985,5657,138427840
